sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
男,-1,5.0,07-07,159,12,270.0,2.0,0,0,2,0
保密,-1,5.0,09-16,8,130,92464.0,262.0,0,0,11,0
男,-1,6.0,09-23,417,74,65943.0,181.0,3,0,8,0
男,-1,5.0,05-31,171,86,11917.0,556.0,0,0,6,0
男,-1,5.0,01-01,576,21,12699.0,42.0,8,0,32,0
男,-1,6.0,06-26,0,12052,10078017.0,9872.0,0,0,255,0
保密,-1,5.0,01-01,41,15,27.0,1.0,0,0,1,0
女,-1,5.0,10-01,20,90,16949.0,159.0,0,0,3,0
男,-1,5.0,01-02,11,26,8975.0,18.0,0,0,0,0
女,-1,4.0,05-02,103,14,204.0,51.0,12,0,1,0
保密,-1,5.0,11-11,130,54,16887.0,17.0,2,0,2,0
保密,-1,5.0,01-01,399,1114,905127.0,440.0,5,0,22,0
保密,-1,3.0,05-14,11,15,8118.0,222.0,0,0,0,0
男,-1,5.0,01-01,5,285,229190.0,1455.0,0,0,45,0
保密,-1,5.0,01-01,194,12,67.0,6.0,3,0,1,0
保密,-1,5.0,01-01,104,22,316.0,5.0,0,0,1,0
男,-1,5.0,10-08,139,541,30724.0,1987.0,129,0,7,0
保密,-1,5.0,06-13,8,26,2283.0,37.0,0,0,7,0
保密,-1,6.0,01-01,75,15,3776.0,37.0,0,0,4,0
男,-1,6.0,01-31,77,210,16862.0,815.0,0,0,12,0
保密,-1,4.0,06-18,13,1222,23115.0,1058.0,22,1,1,0
女,-1,5.0,03-16,39,50,18952.0,21.0,0,0,10,0
男,-1,5.0,08-29,83,278,55761.0,158.0,1,0,2,0
男,-1,5.0,01-01,117,9,1950.0,4.0,0,0,3,0
男,-1,5.0,01-04,66,278,27505.0,110.0,0,0,12,0
女,-1,4.0,01-01,38,15,222.0,2.0,0,0,1,0
女,-1,4.0,03-19,62,1486,99508.0,3512.0,4,0,10,6
男,-1,5.0,01-01,158,8,4137.0,1.0,0,0,0,0
女,-1,5.0,01-01,89,835,3649.0,7752.0,30,2,9,0
保密,-1,5.0,01-01,15,83,3033.0,3011.0,0,0,1,0
保密,-1,6.0,07-09,282,49078,611382.0,99813.0,9,0,3,0
男,-1,3.0,09-27,22,17,5.0,19.0,37,0,0,0
保密,-1,6.0,10-27,133,153,10613.0,267.0,2,0,0,0
女,-1,5.0,12-21,456,1353,126052.0,6791.0,0,0,40,0
男,-1,6.0,01-01,56,44,11292.0,54.0,0,0,4,0
保密,-1,5.0,01-01,78,1245,1115535.0,2197.0,0,0,169,0
男,-1,6.0,03-27,82,165,214934.0,499.0,0,0,42,0
保密,-1,4.0,02-05,702,15,720.0,40.0,4,0,3,0
男,-1,5.0,06-26,297,85,32631.0,205.0,2,0,92,0
男,-1,5.0,01-29,460,12,98.0,1.0,1,0,1,0
男,-1,6.0,06-01,192,556,24606.0,253.0,4,0,11,0
男,-1,4.0,01-01,31,25,45633.0,2111.0,1,0,6,0
男,-1,6.0,10-25,1744,242,339616.0,375.0,10,1,45,0
保密,-1,6.0,01-01,1075,8,11512.0,122.0,2,0,5,0
男,-1,6.0,11-20,361,6,1098.0,8.0,0,0,1,0
保密,-1,5.0,06-16,130,989,1026225.0,14073.0,110,0,121,0
保密,-1,5.0,12-31,16,137,697768.0,12326.0,0,0,19,0
男,-1,5.0,01-07,19,1134,93420.0,588.0,1,0,34,0
保密,-1,5.0,02-14,11,58,22143.0,910.0,0,0,12,0
男,-1,6.0,02-10,174,17,33630.0,4.0,0,0,0,0
男,-1,5.0,03-03,11,1870,5453826.0,2283.0,2,0,34,0
保密,-1,5.0,01-01,71,7,3997.0,3.0,0,0,4,0
男,-1,5.0,09-11,142,63,148287.0,58.0,0,0,5,0
男,-1,5.0,01-01,45,41,19134.0,39.0,0,0,2,0
男,-1,2.0,05-17,5,1,352.0,11.0,0,0,3,0
保密,-1,1.0,01-01,0,17,23295.0,36.0,0,0,0,0
保密,-1,5.0,03-21,156,50,8143.0,116.0,0,0,43,0
保密,-1,5.0,07-01,148,277,556429.0,7541.0,0,0,14,0
女,-1,5.0,01-01,78,24,206.0,10.0,0,0,0,0
保密,-1,5.0,02-21,38,17,3701.0,26.0,0,0,1,0
保密,-1,6.0,01-01,116,35,2592.0,30.0,2,0,6,0
男,-1,5.0,04-14,0,43,109388.0,9.0,0,0,1,0
男,-1,6.0,06-04,82,3,497.0,8.0,0,0,1,0
男,-1,5.0,03-01,362,45,68.0,40.0,1,0,0,0
保密,-1,4.0,03-02,92,11,5774.0,45.0,0,0,0,0
男,-1,5.0,01-19,58,25,736.0,7.0,0,0,9,0
女,-1,6.0,01-01,148,14,1929.0,2.0,0,0,3,0
保密,-1,5.0,01-01,143,102,659176.0,322.0,3,0,7,0
男,-1,5.0,03-08,28,328,173958.0,386.0,0,0,6,0
男,-1,5.0,12-05,27,180,40075.0,25.0,0,0,3,0
保密,-1,5.0,01-01,59,0,2957.0,1.0,0,0,7,0
男,-1,5.0,01-01,37,1853,1025273.0,6442.0,1,0,98,0
保密,-1,5.0,01-01,56,1,1479.0,10.0,0,0,3,0
男,-1,5.0,07-25,27,5,1259.0,1.0,0,0,1,0
保密,-1,5.0,01-01,103,36,226259.0,118.0,1,0,2,0
男,0,6.0,11-22,50,22858,3234606.0,42582.0,10,0,126,3
保密,-1,5.0,11-16,1512,46,1362.0,36.0,0,0,4,0
男,-1,6.0,04-07,941,20,122.0,19.0,3,0,1,0
女,-1,4.0,08-22,90,1602,33074.0,59.0,0,0,7,0
男,0,6.0,12-09,45,15506,4294919.0,5135.0,0,0,187,0
保密,-1,5.0,01-01,735,28,35379.0,564.0,0,0,6,0
男,-1,6.0,04-03,249,26,608.0,6.0,1,0,0,0
男,-1,6.0,01-01,252,66,6226.0,77.0,3,0,6,0
男,-1,5.0,03-14,92,32,2219.0,40.0,0,0,10,0
男,-1,5.0,06-29,81,18,142.0,12.0,2,0,1,0
保密,-1,5.0,01-01,72,52,71018.0,76.0,0,0,19,0
保密,-1,5.0,01-25,120,6,4736.0,81.0,0,0,1,0
保密,-1,3.0,05-01,44,38,818.0,104.0,5,0,13,0
男,-1,5.0,01-01,73,246,35562.0,241.0,0,0,25,8
男,-1,4.0,12-12,11,29,2550.0,6.0,0,0,3,1
保密,-1,5.0,01-01,73,45,15637.0,185.0,0,0,20,0
保密,-1,6.0,12-07,872,1862,312133.0,12184.0,6,0,92,0
